Title 	 Authors 	 Date of Publication 	 Digital Object Identifier
Facile double-functionalization of designed ankyrin repeat proteins using click and thiol chemistries.	Simon M Zangemeister-Wittke U Pluckthun A	2012 Feb 15	10.1021/bc200591x [doi]
In vivo characteristics of targeted drug-carrying filamentous bacteriophage nanomedicines.	Vaks L Benhar I	2011 Dec 20	1477-3155-9-58 [pii] 10.1186/1477-3155-9-58 [doi]
Ni2+-activated glyoxalase I from Escherichia coli: substrate specificity, kinetic isotope effects and evolution within the betaalphabetabetabeta superfamily.	Mullings KY Sukdeo N Suttisansanee U Ran Y Honek JF	2012 Mar	S0162-0134(11)00332-1 [pii] 10.1016/j.jinorgbio.2011.11.008 [doi]
Conjugation to octa-arginine via disulfide bonds confers solubility to denatured proteins in physiological solution and enables efficient cell internalization.	Kuwada E Tadaki T Kambara K Egawa K Noguchi K	2011 Nov-Dec	10.1002/bab.59 [doi]
Construction and characterization of an anti-asialoglycoprotein receptor single-chain variable-fragment-targeted melittin.	Zhao X Yu Z Dai W Yao Z Zhou W Zhou W Zhou J Yang Y Zhu Y Chen S Cao L	2011 Nov-Dec	10.1002/bab.57 [doi]
Emergence of extended-spectrum beta-lactamases-producing Escherichia coli in community-acquired urinary infections in Casablanca, Morocco.	Bourjilat F Bouchrif B Dersi N Claude JD Amarouch H Timinouni M	2011 Dec 13	?
Screening for yeast mutants defective in recipient ability for transkingdom conjugation with Escherichia coli revealed importance of vacuolar ATPase activity in the horizontal DNA transfer phenomenon.	Mizuta M Satoh E Katoh C Tanaka K Moriguchi K Suzuki K	2012 May 20	S0944-5013(11)00086-3 [pii] 10.1016/j.micres.2011.10.001 [doi]
FRET-based quantum dot immunoassay for rapid and sensitive detection of Aspergillus amstelodami.	Kattke MD Gao EJ Sapsford KE Stephenson LD Kumar A	2011	10.3390/s110606396 [doi] s110606396 [pii]
The complete genome sequence of Pantoea ananatis AJ13355, an organism with great biotechnological potential.	Hara Y Kadotani N Izui H Katashkina JI Kuvaeva TM Andreeva IG Golubeva LI Malko DB Makeev VJ Mashko SV Kozlov YI	2012 Jan	10.1007/s00253-011-3713-5 [doi]
Green fluorescent protein-labeled monitoring tool to quantify conjugative plasmid transfer between Gram-positive and Gram-negative bacteria.	Arends K Schiwon K Sakinc T Hubner J Grohmann E	2012 Feb	AEM.05578-11 [pii] 10.1128/AEM.05578-11 [doi]
Chromate-resistance genes in plasmids from antibiotic-resistant nosocomial enterobacterial isolates.	Caballero-Flores GG Acosta-Navarrete YM Ramirez-Diaz MI Silva-Sanchez J Cervantes C	2012 Feb	10.1111/j.1574-6968.2011.02473.x [doi]
Enhancing macrolide production in Streptomyces by coexpressing three heterologous genes.	Wang T Bai L Zhu D Lei X Liu G Deng Z You D	2012 Jan 5	S0141-0229(11)00214-6 [pii] 10.1016/j.enzmictec.2011.09.014 [doi]
Self-transmissible IncP R995 plasmids with alternative markers and utility for Flp/FRT cloning strategies.	Santiago CP Quick LN Wilson JW	2011 Nov	JMB021-11-04 [pii]
Synthesis and evaluation of sulfate conjugated metronidazole as a colon-specific prodrug of metronidazole.	Kim H Lee Y Yoo H Kim J Kong H Yoon JH Jung Y Kim YM	2012 Apr	10.3109/1061186X.2011.639024 [doi]
A new cloning system based on the OprI lipoprotein for the production of recombinant bacterial cell wall-derived immunogenic formulations.	Basto AP Piedade J Ramalho R Alves S Soares H Cornelis P Martins C Leitao A	2012 Jan	S0168-1656(11)00640-7 [pii] 10.1016/j.jbiotec.2011.11.006 [doi]
Emergence of nosocomial New Delhi metallo-beta-lactamase-1 (NDM-1)-producing Klebsiella pneumoniae in patients admitted to a tertiary care hospital in Kuwait.	Jamal W Rotimi VO Albert MJ Khodakhast F Udo EE Poirel L	2012 Feb	S0924-8579(11)00420-1 [pii] 10.1016/j.ijantimicag.2011.10.002 [doi]
A non-restricting and non-methylating Escherichia coli strain for DNA cloning and high-throughput conjugation to Streptomyces coelicolor.	Zhou H Wang Y Yu Y Bai T Chen L Liu P Guo H Zhu C Tao M Deng Z	2012 Feb	10.1007/s00284-011-0048-5 [doi]
High-level resistance to gentamicin: genetic transfer between Enterococcus faecalis isolated from food of animal origin and human microbiota.	Sparo M Urbizu L Solana MV Pourcel G Delpech G Confalonieri A Ceci M Sanchez Bruni SF	2012 Feb	10.1111/j.1472-765X.2011.03182.x [doi]
[Development of a genetic modification system for caerulomycin producer Actinoalloteichus sp. WH1-2216-6].	Lin Q Zhang G Li S Zhang H Ju J Zhu W Zhang C	2011 Aug	?
Duplication of partial spinosyn biosynthetic gene cluster in Saccharopolyspora spinosa enhances spinosyn production.	Tang Y Xia L Ding X Luo Y Huang F Jiang Y	2011 Dec	10.1111/j.1574-6968.2011.02405.x [doi]
Plasmid-mediated transfer of the bla(NDM-1) gene in Gram-negative rods.	Potron A Poirel L Nordmann P	2011 Nov	10.1111/j.1574-6968.2011.02392.x [doi]
Mobilizable narrow host range plasmids as natural suicide vectors enabling horizontal gene transfer among distantly related bacterial species.	Smorawinska M Szuplewska M Zaleski P Wawrzyniak P Maj A Plucienniczak A Bartosik D	2012 Jan	10.1111/j.1574-6968.2011.02432.x [doi]
An activation domain of plasmid R1 TraI protein delineates stages of gene transfer initiation.	Lang S Kirchberger PC Gruber CJ Redzej A Raffl S Zellnig G Zangger K Zechner EL	2011 Dec	10.1111/j.1365-2958.2011.07872.x [doi]
Prevalence and characterization of extended spectrum beta-lactamases in Klebsiella-Enterobacter-Serratia group bacteria, in Algeria.	Nedjai S Barguigua A Djahmi N Jamali L Zerouali K Dekhil M Timinouni M	2012 Jan	S0399-077X(11)00317-9 [pii] 10.1016/j.medmal.2011.10.001 [doi]
Escherichia coli BdcA controls biofilm dispersal in Pseudomonas aeruginosa and Rhizobium meliloti.	Ma Q Zhang G Wood TK	2011 Oct 26	1756-0500-4-447 [pii] 10.1186/1756-0500-4-447 [doi]
Tales of conjugation and sex pheromones: A plasmid and enterococcal odyssey.	Clewell DB	2011 May	10.4161/mge.1.1.15409 [doi] 2159-2543-1-1-6 [pii]
ICEPmu1, an integrative conjugative element (ICE) of Pasteurella multocida: structure and transfer.	Michael GB Kadlec K Sweeney MT Brzuszkiewicz E Liesegang H Daniel R Murray RW Watts JL Schwarz S	2012 Jan	dkr411 [pii] 10.1093/jac/dkr411 [doi]
Protein heteroconjugation by the peroxidase-catalyzed tyrosine coupling reaction.	Minamihata K Goto M Kamiya N	2011 Nov 16	10.1021/bc200420v [doi]
Novel conjugation of norvancomycin-fluorescein for photodynamic inactivation of Bacillus subtilis.	Gao HZ Yang KW Wu XL Liu JY Feng L Xiao JM Zhou LS Jia C Shi Z	2011 Nov 16	10.1021/bc200382d [doi]
Transfer of an Escherichia coli ST131 multiresistance cassette has created a Klebsiella pneumoniae-specific plasmid associated with a major nosocomial outbreak.	Sandegren L Linkevicius M Lytsy B Melhus A Andersson DI	2012 Jan	dkr405 [pii] 10.1093/jac/dkr405 [doi]
Molecular characterization of resistance to extended-spectrum cephalosporins in clinical Escherichia coli isolates from companion animals in the United States.	Shaheen BW Nayak R Foley SL Kweon O Deck J Park M Rafii F Boothe DM	2011 Dec	AAC.00656-11 [pii] 10.1128/AAC.00656-11 [doi]
Mobilisation and remobilisation of a large archetypal pathogenicity island of uropathogenic Escherichia coli in vitro support the role of conjugation for horizontal transfer of genomic islands.	Schneider G Dobrindt U Middendorf B Hochhut B Szijarto V Emody L Hacker J	2011 Sep 24	1471-2180-11-210 [pii] 10.1186/1471-2180-11-210 [doi]
Identification of a plasmid-borne blaIMP-11 gene in clinical isolates of Escherichia coli and Klebsiella pneumoniae.	Zhao WH Chen G Ito R Kimura S Hu ZQ	2012 Feb	jmm.0.035626-0 [pii] 10.1099/jmm.0.035626-0 [doi]
Characterization of IncA/C conjugative plasmid harboring bla TEM-52 and bla CTX-M-15 extended-spectrum beta-lactamases in clinical isolates of Escherichia coli in Tunisia.	Chouchani C El Salabi A Marrakchi R Ferchichi L Walsh TR	2012 Jun	10.1007/s10096-011-1410-z [doi]
Molecular characteristics of KPC-producing Enterobacteriaceae at the early stage of their dissemination in Poland, 2008-2009.	Baraniak A Grabowska A Izdebski R Fiett J Herda M Bojarska K Zabicka D Kania-Pudlo M Mlynarczyk G Zak-Pulawska Z Hryniewicz W Gniadkowski M	2011 Dec	AAC.05118-11 [pii] 10.1128/AAC.05118-11 [doi]
[Bioaugmentation of bioreactors with a pJP4 receiving transconjugant to enhance the removal of 2,4-D].	Quan XC Tang H Ma JY	2011 Jul	?
Plasmidic qnrA3 enhances Escherichia coli fitness in absence of antibiotic exposure.	Michon A Allou N Chau F Podglajen I Fantin B Cambau E	2011	10.1371/journal.pone.0024552 [doi] PONE-D-11-08971 [pii]
Biochemical characterization of the TEM-107 extended-spectrum beta-lactamase in a Klebsiella pneumoniae isolate from South Korea.	Lee K Yum JH Yong D Jeong SH Rossolini GM Docquier JD Chong Y	2011 Dec	AAC.05341-11 [pii] 10.1128/AAC.05341-11 [doi]
Transfer of R388 derivatives by a pathogenesis-associated type IV secretion system into both bacteria and human cells.	Fernandez-Gonzalez E de Paz HD Alperi A Agundez L Faustmann M Sangari FJ Dehio C Llosa M	2011 Nov	JB.05905-11 [pii] 10.1128/JB.05905-11 [doi]
Detection and characterization of aparmycin-resistant Escherichia coli from humans in Korea.	Lim SK Nam HM Kim A Jang GC Lee HS Jung SC	2011 Dec	10.1089/mdr.2011.0052 [doi]
Conjugation of type I antifreeze protein to polyallylamine increases thermal hysteresis activity.	Can O Holland NB	2011 Oct 19	10.1021/bc2004318 [doi]
A system for the targeted amplification of bacterial gene clusters multiplies antibiotic yield in Streptomyces coelicolor.	Murakami T Burian J Yanai K Bibb MJ Thompson CJ	2011 Sep 20	1108124108 [pii] 10.1073/pnas.1108124108 [doi]
Screening of an E. coli O157:H7 Bacterial Artificial Chromosome Library by Comparative Genomic Hybridization to Identify Genomic Regions Contributing to Growth in Bovine Gastrointestinal Mucus and Epithelial Cell Colonization.	Bai J McAteer SP Paxton E Mahajan A Gally DL Tree JJ	2011	10.3389/fmicb.2011.00168 [doi]
Extended-spectrum Beta-lactamase Orthopedic Wound Infections in Nigeria.	Idowu OJ Onipede AO Orimolade AE Akinyoola LA Babalola GO	2011 Jul	10.4103/0974-777X.83524 [doi] JGID-3-211 [pii]
Array-based synthetic genetic screens to map bacterial pathways and functional networks in Escherichia coli.	Babu M Gagarinova A Emili A	2011	10.1007/978-1-61779-276-2_7 [doi]
Functional characterization of alpha-class glutathione s-transferases from the Turkey (meleagris gallopavo).	Kim JE Bunderson BR Croasdell A Coulombe RA Jr	2011 Nov	kfr212 [pii] 10.1093/toxsci/kfr212 [doi]
Identification of bla KPC-2 on different plasmids of three Morganella morganii isolates.	Shi DS Wang WP Kuai SG Shao HF Huang M	2012 May	10.1007/s10096-011-1377-9 [doi]
Coiled coil peptides as universal linkers for the attachment of recombinant proteins to polymer therapeutics.	Pechar M Pola R Laga R Ulbrich K Bednarova L Malon P Sieglova I Kral V Fabry M Vanek O	2011 Oct 10	10.1021/bm200897b [doi]
First detection of TEM-116 extended-spectrum beta-lactamase in a Providencia stuartii isolate from a Tunisian hospital.	Lahlaoui H Dahmen S Moussa MB Omrane B	2011 Jul-Sep	IndianJMedMicrobiol_2011_29_3_258_83909 [pii] 10.4103/0255-0857.83909 [doi]
ArmA methyltransferase in a monophasic Salmonella enterica isolate from food.	Granier SA Hidalgo L San Millan A Escudero JA Gutierrez B Brisabois A Gonzalez-Zorn B	2011 Nov	AAC.00308-11 [pii] 10.1128/AAC.00308-11 [doi]
Molecular characterization of multidrug-resistant Escherichia coli isolates from Irish cattle farms.	Karczmarczyk M Walsh C Slowey R Leonard N Fanning S	2011 Oct	AEM.00601-11 [pii] 10.1128/AEM.00601-11 [doi]
Characterization of multidrug-resistant Escherichia coli isolates from animals presenting at a university veterinary hospital.	Karczmarczyk M Abbott Y Walsh C Leonard N Fanning S	2011 Oct	AEM.00599-11 [pii] 10.1128/AEM.00599-11 [doi]
Expanding targets for a metabolic therapy of cancer: L-asparaginase.	Covini D Tardito S Bussolati O Chiarelli LR Pasquetto MV Digilio R Valentini G Scotti C	2012 Jan	BSP/PRA/EPUB/00052 [pii]
A survey of beta-lactamase and 16S rRNA methylase genes among fluoroquinolone-resistant Escherichia coli isolates and their horizontal transmission in Shandong, China.	Xia LN Tao XQ Shen JZ Dai L Wang Y Chen X Wu CM	2011 Dec	10.1089/fpd.2011.0868 [doi]
Impacts of gene bioaugmentation with pJP4-harboring bacteria of 2,4-D-contaminated soil slurry on the indigenous microbial community.	Inoue D Yamazaki Y Tsutsui H Sei K Soda S Fujita M Ike M	2012 Apr	10.1007/s10532-011-9505-x [doi]
Selective covalent conjugation of phosphorothioate DNA oligonucleotides with streptavidin.	Rabe KS Niemeyer CM	2011 Aug 15	molecules16086916 [pii] 10.3390/molecules16086916 [doi]
Functional characterization of Tn4401, a Tn3-based transposon involved in blaKPC gene mobilization.	Cuzon G Naas T Nordmann P	2011 Nov	AAC.05202-11 [pii] 10.1128/AAC.05202-11 [doi]
Genotypic characterization and in vitro activities of tigecycline and polymyxin B for members of the Enterobacteriaceae with decreased susceptibility to carbapenems.	Zhang R Cai JC Zhou HW Nasu M Chen GX	2011 Dec	jmm.0.025668-0 [pii] 10.1099/jmm.0.025668-0 [doi]
First report on IncN plasmid-mediated quinolone resistance gene qnrS1 in porcine Escherichia coli in Europe.	Szmolka A Fortini D Villa L Carattoli A Anjum MF Nagy B	2011 Dec	10.1089/mdr.2011.0068 [doi]
Prevalence and characterization of plasmid-mediated quinolone resistance genes in extended-spectrum beta-lactamase-producing Enterobacteriaceae isolates in Mexico.	Silva-Sanchez J Barrios H Reyna-Flores F Bello-Diaz M Sanchez-Perez A Rojas T Garza-Ramos U	2011 Dec	10.1089/mdr.2011.0086 [doi]
Investigation of diversity of plasmids carrying the blaTEM-52 gene.	Bielak E Bergenholtz RD Jorgensen MS Sorensen SJ Hansen LH Hasman H	2011 Nov	dkr331 [pii] 10.1093/jac/dkr331 [doi]
Fecal colonization of Enterobacteriaceae carrying plasmid-mediated quinolone resistance determinants in Korea.	Jeong HS Bae IK Shin JH Kim SH Chang CL Jeong J Kim S Lee CH Ryoo NH Lee JN	2011 Dec	10.1089/mdr.2011.0040 [doi]
Pervasive sign epistasis between conjugative plasmids and drug-resistance chromosomal mutations.	Silva RF Mendonca SC Carvalho LM Reis AM Gordo I Trindade S Dionisio F	2011 Jul	10.1371/journal.pgen.1002181 [doi] PGENETICS-D-11-00083 [pii]
Artificial extracellular matrix proteins containing phenylalanine analogues biosynthesized in bacteria using T7 expression system and the PEGylation.	Takasu A Kondo S Ito A Furukawa Y Higuchi M Kinoshita T Kwon I	2011 Oct 10	10.1021/bm200522d [doi]
Array-based synthetic genetic screens to map bacterial pathways and functional networks in Escherichia coli.	Babu M Gagarinova A Greenblatt J Emili A	2011	10.1007/978-1-61779-197-0_9 [doi]
[Co-existence of resistance genes and their association with the genetic marker of integrons among multi-resistant Escherichia coli isolates].	Han D Huang J Shang Z Xu R Lou Y Chen X	2011 Apr	?
Genetic manipulation of butyrate formation pathways in Clostridium butyricum.	Cai G Jin B Saint C Monis P	2011 Sep 20	S0168-1656(11)00380-4 [pii] 10.1016/j.jbiotec.2011.07.004 [doi]
Characterization of IcmF of the type VI secretion system in an avian pathogenic Escherichia coli (APEC) strain.	de Pace F Boldrin de Paiva J Nakazato G Lancellotti M Sircili MP Guedes Stehling E Dias da Silveira W Sperandio V	2011 Oct	mic.0.050005-0 [pii] 10.1099/mic.0.050005-0 [doi]
Precise manipulation of chromosomes in vivo enables genome-wide codon replacement.	Isaacs FJ Carr PA Wang HH Lajoie MJ Sterling B Kraal L Tolonen AC Gianoulis TA Goodman DB Reppas NB Emig CJ Bang D Hwang SJ Jewett MC Jacobson JM Church GM	2011 Jul 15	333/6040/348 [pii] 10.1126/science.1205822 [doi]
Development of a vector and host system and characterization of replication of plasmid pSQ10 in moderately halophilic Nocardiopsis.	Zeng A Wang T Xia H Peng S Chen W Jiang C Xu L Zhong L Shen M Qin Z	2011 Sep	gmr059 [pii] 10.1093/abbs/gmr059 [doi]
Rapid acquisition of decreased carbapenem susceptibility in a strain of Klebsiella pneumoniae arising during meropenem therapy.	Findlay J Hamouda A Dancer SJ Amyes SG	2012 Feb	10.1111/j.1469-0691.2011.03515.x [doi] S1198-743X(14)61338-0 [pii]
TrbB from conjugative plasmid F is a structurally distinct disulfide isomerase that requires DsbD for redox state maintenance.	Hemmis CW Berkmen M Eser M Schildbach JF	2011 Sep	JB.00351-11 [pii] 10.1128/JB.00351-11 [doi]
Reconstitution of the Mycobacterium tuberculosis pupylation pathway in Escherichia coli.	Cerda-Maira FA McAllister F Bode NJ Burns KE Gygi SP Darwin KH	2011 Jul 8	embor2011109 [pii] 10.1038/embor.2011.109 [doi]
Effects of two simulated oxytetracycline dosing regimens on horizontal transfer of antimicrobial resistance plasmids in an in vitro pharmacodynamic model.	Lubbers BV Peterson GJ Narayanan SK Havel JA Coetzee JF Apley MD	2011 Jul	10.2460/ajvr.72.7.877 [doi]
Diverse prevalence of 16S rRNA methylase genes armA and rmtB amongst clinical multidrug-resistant Escherichia coli and Klebsiella pneumoniae isolates.	Yang J Ye L Wang W Luo Y Zhang Y Han L	2011 Oct	S0924-8579(11)00223-8 [pii] 10.1016/j.ijantimicag.2011.04.021 [doi]
Measuring the rate of conjugal plasmid transfer in a bacterial population using quantitative PCR.	Wan Z Varshavsky J Teegala S McLawrence J Goddard NL	2011 Jul 6	S0006-3495(11)00577-7 [pii] 10.1016/j.bpj.2011.04.054 [doi]
Recombinant Gaussia luciferase with a reactive cysteine residue for chemical conjugation: expression, purification and its application for bioluminescent immunoassays.	Inouye S Sato J Sahara-Miura Y	2011 Jul 15	S0006-291X(11)01036-9 [pii] 10.1016/j.bbrc.2011.06.063 [doi]
Horizontal Transfer of Antimicrobial Resistance by Extended-Spectrum beta Lactamase-Producing Enterobacteriaceae.	Vaidya VK	2011 Jan	10.4103/0974-2727.78563 [doi] JLP-3-37 [pii]
Molecular characterization of blaNDM-1 in an Acinetobacter baumannii strain isolated in Germany in 2007.	Pfeifer Y Wilharm G Zander E Wichelhaus TA Gottig S Hunfeld KP Seifert H Witte W Higgins PG	2011 Sep	dkr256 [pii] 10.1093/jac/dkr256 [doi]
Transferable plasmid-mediated quinolone resistance in association with extended-spectrum beta-lactamases and fluoroquinolone-acetylating aminoglycoside-6'-N-acetyltransferase in clinical isolates of Vibrio fluvialis.	Chowdhury G Pazhani GP Nair GB Ghosh A Ramamurthy T	2011 Aug	S0924-8579(11)00204-4 [pii] 10.1016/j.ijantimicag.2011.04.013 [doi]
Hepatic UDP-glucuronosyltransferase is responsible for eslicarbazepine glucuronidation.	Loureiro AI Fernandes-Lopes C Bonifacio MJ Wright LC Soares-da-Silva P	2011 Sep	dmd.111.038620 [pii] 10.1124/dmd.111.038620 [doi]
